reading_order,scene_id,keyframe_id,title_kn,source_refs,image_prompt,negative_prompt,motion_direction,sound_cue,continuity,character_reference_files,location_reference_file,generated_still_file,generator_and_version,generation_settings,native_width,native_height,upscale_history,still_review,recording_take,actual_voice_seconds,additional_shot_ids_after_read,selected_motion_clip,clip_in,clip_out,caption_file,music_source,sfx_source,master_width,master_height,master_fps,final_master_file,delivery_review
104,G09-S03,G09-S03-KF01,ಅಮೃತರಕ್ಷಕರ ಎದುರು,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 17458–17697,"Garuda drives a powerful wingbeat across the outer celestial guard line, raising a dense but readable dust wave as armored adult guardians shield their eyes and step back. Keep the amrita vessel out of reach in the distant protected center. Golden feather edges, bronze weapons and storm-grey light convey force without graphic wounds or random armies piled together. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",One strong lateral wing movement with controlled parallax; avoid chaotic camera shake.,"Wing thunder, ringing weapons and short low percussion accents.",Show defeat through retreat and disorientation; the inner fire and wheel defenses remain intact after this scene.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
105,G09-S04,G09-S04-KF01,ಅಗ್ನಿವಲಯ ಮತ್ತು ತಿರುಗುವ ಚಕ್ರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 17699–17779,"A compactly transformed Garuda threads through a narrow safe opening in a great razor-edged rotating wheel above a guarded amrita chamber. Show the wheel with one clear hub and consistent spokes, and the bird fully clear of the blades. Dying steam from the extinguished fire lingers behind. Cold steel, warm gold vessel light and meticulous spatial clarity, with no gore. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow controlled rotation and one clean forward passage; establish scale before the move.,"Metal wheel hum, steam hiss and a brief silence at the successful crossing.","Transformation changes scale, not identity. The vessel becomes Garuda’s possession only after all inner guardians are passed.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
106,G09-S05,G09-S05-KF01,ಕುಡಿಯದ ಅಮೃತ ಮತ್ತು ವಿಷ್ಣುವಿನ ವರ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 17780–17872,"Garuda bows in midair before calm Vishnu on a luminous cloud terrace, holding the amrita vessel securely and still sealed. Vishnu’s raised hand grants a boon; a simple standard behind him leaves space to imply the future Garuda emblem without generated symbols. Deep blue and restrained gold palette, serene faces, detailed feathers and quiet divine scale. No drinking action. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow circular two-shot keeping the closed vessel visible throughout.,Soft conch resonance and a warm sustained devotional chord.,Garuda receives immortality without drinking. Vehicle and banner roles arise here; do not show him already carrying Vishnu before the agreement.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
107,G09-S06,G09-S06-KF01,"ವಜ್ರಕ್ಕೆ ಗೌರವ, ಇಂದ್ರನಿಗೆ ಸ್ನೇಹ",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 17873–18087,"Garuda faces Indra in open sky while one large golden feather drifts slowly between them. Indra lowers his vajra after the ineffective strike; Garuda holds the amrita vessel safely away from the weapon. Rich cloud depth, cool storm light breaking into warm sunlight and precise calm eyelines express the transition from combat to respect. No torn flesh or injured wing. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Follow the falling feather briefly, then settle on the two figures facing one another.","Vajra resonance fades, wind softens and the battle rhythm stops.",One feather is voluntarily relinquished as respect. Do not depict Garuda crippled or defeated.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
108,G09-S07,G09-S07-KF01,ವಿನತೆಯ ವಿಮೋಚನೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 18088–18181,"Garuda stands beside adult Vinata, now upright and free, while the amrita vessel rests on a neatly arranged bed of kusa grass between them and the serpent assembly. Vinata’s expression shows relief rather than royal triumph. Coastal morning light, deep green roots and careful prop placement. This frame precedes the serpents’ bathing departure; Indra is not yet taking the vessel. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Move from the vessel to Vinata’s newly unburdened posture.,Gentle coastal wind and the mother-son theme resolving.,"Vessel on kusa, then serpents depart, then Indra takes it: preserve this exact order. Explain split tongues in narration without close-up injury.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
109,G09-S08,G09-S08-KF01,ನಾಗವಂಶದೊಳಗಿನ ವ್ಯತ್ಯಾಸ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 18183–18343,"Shesha, a dignified distinct many-hooded serpent using a fixed approved hood count, turns away from a crowded root-filled naga gathering toward a quiet mountain path. Other serpents remain behind in varied non-caricatured postures. Deep emerald shadow gives way to pale austere rock and clear morning air. Emphasize one deliberate departure rather than a battle within the family. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Track beside Shesha as the noisy gathering falls out of frame.,Soft scales on stone; background murmurs fade into wind.,This scene introduces Shesha’s ethical separation; it does not imply all other naga characters are irredeemably evil.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
110,G09-S09,G09-S09-KF01,ಶೇಷನ ಭೂಧಾರಣೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 18350–18628,"Shesha coils beneath a vast symbolic earth surface in a solemn cosmological visualization, his approved multiple hoods steady and evenly formed. Above, mountains and rivers are suggested as a continuous sacred landscape, not a modern globe with mapped continents. Brahma’s distant calm presence grants the task. Deep lapis darkness, luminous earth-gold edges and immense stable scale convey patient support. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow descent from the inhabited earth to the steady supporting coils.,Deep resonant drone and a stable repeating low note.,"Sacred cosmology, not geology. Keep Shesha’s design distinct from Vasuki and Takshaka.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
111,G09-S10,G09-S10-KF01,ವಾಸುಕಿಯ ಮಂತ್ರಸಭೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 18632–19016,"Vasuki presides in a spacious root-and-stone naga hall, his distinct hood and scale pattern centered while several serpent counselors face him from different levels. One group leans forward urgently; another hangs back. Use natural serpent bodies and expressive orientation, avoiding human arms on every naga. Moss-green, bronze and cool subterranean light give the council gravity without villainous caricature. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Measured arc around the council, ending on Vasuki’s firm stillness.",Low cavern resonance and restrained layered whispers beneath narration.,"Council proposals are proposals, not enacted events. Do not show the king already murdered or the sacrifice extinguished.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
112,G09-S11,G09-S11-KF01,ಏಲಾಪತ್ರನ ಆಶಾವಚನ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 19022–19434,"Elapatra, a smaller distinct serpent counselor, addresses Vasuki in the established hall while an adult woman representing Vasuki’s sister Jaratkaru stands safely in an adjoining sheltered space. Vasuki’s orientation shifts from anxious council toward her. Warm reflected light enters the dark stone setting as hope becomes specific. No infant Astika appears before the marriage or pregnancy. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow reveal from Elapatra to Vasuki and then the sister’s separate space.,The low council drone opens into a restrained hopeful flute line.,The male sage and female Jaratkaru share a name. Source OCR heading/colophon order around chapters33–35 is irregular and needs scan verification.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
113,G10-S01,G10-S01-KF01,ಮೌನವನ್ನು ಅವಮಾನವೆಂದು ತಿಳಿದ ರಾಜ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 19170–19868,"Adult King Parikshit, dusty and fatigued from hunting, stands beside the seated sage Shamika in an open grazing grove. A limp dead serpent hangs from the tip of his lowered bow near the sage’s shoulder; depict the grave lapse without injury detail or comic framing. Shamika remains motionless in meditation. Harsh afternoon light, dry grass and muted royal cloth emphasize exhaustion and misjudgment. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Static eye-level frame; cut to the king departing and leave the silent sage in view.,"Dry leaves, a strained breath and the absence of any spoken reply.",Parikshit is Abhimanyu’s son and Janamejaya’s father. Do not use the young Janamejaya design or treat Shamika’s silence as deliberate mockery.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
114,G10-S02,G10-S02-KF01,ಶೃಂಗಿಯ ಏಳು ದಿನದ ಶಾಪ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 19438–19780,"Shringi, a youthful ascetic with a distinct adolescent face and plain cotton garment, stands beside a small water source after touching the water, his anger concentrated in his eyes and rigid posture. Krisha watches nearby with growing concern. Sunlit forest edge, clear hands and restrained sacred atmosphere; no lightning weapon, giant serpent apparition or adult warrior musculature. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow push toward Shringi’s face, then hold the silence after the curse.","Water drops, a low struck note and suddenly still forest ambience.",Shringi’s youth matters to the father’s later correction. Do not make him a mature authoritative elder.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
115,G10-S03,G10-S03-KF01,ಶಮೀಕರ ನಿರಾಕರಣೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 19781–20010,"Elder Shamika faces youthful Shringi beneath the same grazing-grove tree, one open hand lowered in a calm corrective gesture. The dead serpent has been removed and lies out of frame. Shringi’s anger gives way to troubled attention; Krisha is absent from this private exchange. Cool late-afternoon shade, natural skin detail and intimate father-son spacing convey moral disagreement without humiliation. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Balanced two-shot with a long reaction hold on the son.,Almost no music; a soft breeze and clear explanatory voice.,The father rejects the severity of the curse while acknowledging the king’s offense; preserve both points.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
116,G10-S04,G10-S04-KF01,ಗೌರಮುಖನ ಎಚ್ಚರಿಕೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 20011–20144,"Gauramukha, an adult ascetic messenger in travel-worn white cotton, stands in Parikshit’s court speaking gravely. The older king listens with regret, his hunting bow set far aside; ministers form a quiet semicircle behind him. Soft stone interior, subdued royal textiles and afternoon window light. Focus on received warning and remorse rather than panic or supernatural visions. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow move from messenger to the king’s attentive, lowered gaze.","Court room tone, cloth movement and a sober low string bed.","Shamika sent a compassionate warning, not a threat demanding tribute.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
117,G10-S05,G10-S05-KF01,ಏಕಸ್ತಂಭದ ರಕ್ಷಣಾಗೃಹ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 20145–20230,"A stylized but structurally readable elevated royal refuge rests on one massive central stone support, with a guarded access stair and a compact chamber above. Healers carry sealed herb vessels toward the entrance while sentries inspect visitors. Interpret the source’s single-pillar palace without claiming historical engineering. Clear daylight, pale sandstone and restrained scale keep the protective arrangement understandable. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow rising establishing shot following the guarded access to the upper chamber.,"Footsteps, jar lids and distant vigilance bells.","This is the source’s protective palace, not Shuka’s riverbank Bhagavata setting; do not import that later familiar telling.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
118,G10-S06,G10-S06-KF01,ತಕ್ಷಕ–ಕಾಶ್ಯಪರ ಪರೀಕ್ಷೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 20231–20432,"A great banyan shows fresh green shoots emerging through recently blackened bark as adult healer Kashyapa raises a controlled ritual hand near its trunk. Takshaka, in an unambiguous human disguise with a restrained serpent motif, watches closely from the path. One half-charred branch and new leaves tell the test without fire spectacle. Cool forest light and vivid living green emphasize restoration. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Close on a leaf unfolding, then reveal the two observers.",Faint bark crackle giving way to birds and a subtle resolving tone.,"This healer Kashyapa must be visually distinguished from progenitor Kashyapa, Garuda’s father; do not conflate the roles.",,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
119,G10-S07,G10-S07-KF01,ಹಣ್ಣಿನೊಳಗಿನ ಪ್ರವೇಶ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 20433–20576,"Inside the guarded upper chamber, older King Parikshit holds an opened fruit containing one tiny dark worm. Ministers stand nearby in the warm light of approaching sunset, unaware of the danger. Keep the worm small and ordinary at this instant, with the fruit and king’s hand clearly readable. Herb vessels and protective arrangements remain in the background. No serpent transformation in the same frame. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Macro insert on fruit, then a measured close-up of the king’s mistaken relief.","Fruit skin separating, quiet room tone and a barely audible low tension note.",The worm is Takshaka’s concealment; do not add a different snake entering from outside after the fruit is opened.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
120,G10-S08,G10-S08-KF01,"ಪರೀಕ್ಷಿತನ ಅಂತ್ಯ, ಮಗನ ರಾಜ್ಯ",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 20583–20717,"Young King Janamejaya sits solemnly for consecration in the established Kuru court, senior ministers and priests beside him. His expression reflects loss rather than celebration; a modest water vessel and crown are the only dominant ceremonial props. Soft morning light and subdued undyed mourning accents remain among the royal textiles. Do not depict his marriage in this same frame. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow close move from consecration water to the young king’s face.,"Water pouring, a restrained conch and subdued ceremonial chant.",Parikshit’s death is conveyed without graphic burning. Janamejaya’s later adult marriage requires an explicit time transition.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
121,G10-S09,G10-S09-KF01,ಪೂರ್ವಜರ ಬೇಡಿಕೆಗೆ ಮರಳಿಕೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 20721–21035,"Return to the exact forest chasm of the earlier Jaratkaru scene: the adult ascetic leans forward with folded hands toward the clothed ancestors suspended on the thinning root. The mouse remains at a distance on the same ledge. Use a closer emotional composition than the first establishing view, with soft shaft light revealing concern and the fragile continuity of the root. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow inward move focused on the exchange rather than repeating the earlier wide spectacle.,Low cavern wind and restrained dialogue-like narration cadence.,Editorial caption should say detailed return to the earlier account; avoid implying a second separate discovery.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
122,G10-S10,G10-S10-KF01,ಹೆಸರಿನ ಷರತ್ತು ಮತ್ತು ವಿವಾಹ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 21039–21403,"Adult woman Jaratkaru stands calmly between her brother Vasuki, shown in the approved dignified naga form, and the adult ascetic Jaratkaru in plain ochre cloth. A modest ritual fire and simple garlands mark a restrained marriage setting. Her face remains an active listening presence, not a decorative object. Warm natural light, carved stone and soft green background create solemn clarity. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Balanced three-point composition, pausing on the woman’s face as terms are narrated.","Soft fire and low ceremonial recitation, without celebratory excess.",Both bride and groom are adult and share the same name. Do not present the restrictive terms as an uncomplicated ideal marriage.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
123,G10-S11,G10-S11-KF01,ಸಂಧ್ಯೆಯ ದ್ವಂದ್ವ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 21404–21577,"Adult Jaratkaru the wife sits on a simple woven mat with her adult husband asleep, his head resting on her lap. She looks toward the reddening western doorway, then touches his shoulder gently with visible hesitation. A prepared unlit ritual hearth waits nearby. Warm sunset edges against cool interior shade, modest complete clothing and intimate but non-sensual framing show the dilemma. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Move from the western light to her worried face and gentle waking hand.,"Evening birds, a quiet breath and a tense sustained note.",Her action is motivated by the approaching ritual obligation; do not portray deliberate disrespect or mockery.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
124,G10-S12,G10-S12-KF01,ಅಸ್ತಿ—ಗರ್ಭದಲ್ಲಿರುವ ಭರವಸೆ,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 21578–21766,"Adult ascetic Jaratkaru walks away along a dusk path, seen from behind, while his adult wife stands at the hermitage threshold with one hand resting lightly on her abdomen. Her expression combines grief and resolve. Keep the distance real and the departure final for this sequence. Indigo forest, a thin warm doorway light and empty foreground space carry the emotional separation. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Hold on her as the departing figure grows smaller; do not follow him away from her perspective.,"Footfalls recede, evening insects return, one soft hopeful note remains.",Astika is not born yet. The father’s asti assurance precedes the birth and naming in the next group.,,,,,,,,,not_generated,,,,,,,,,,3840,2160,24,,not_rendered
