reading_order,scene_id,title_kn,source,narration_kn,adapted_dialogue_kn,spoken_words,planning_seconds_low,planning_seconds_high,recorded_take_path,actual_seconds,pronunciation_review,source_completeness_review,performance_approved,caption_file
369,G25-S06,ಬೆಂಕಿ ಮತ್ತು ಪಲಾಯನ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 9567–9883,"ರಾತ್ರಿಯಲ್ಲಿ ಎಲ್ಲರೂ ನಿದ್ರಿಸಿದ ನಂತರ ಭೀಮನು ಮೊದಲು ಕುಂತಿ ಮತ್ತು ತನ್ನ ಸಹೋದರರನ್ನು ಸುರಂಗದೊಳಗೆ ಕಳುಹಿಸಿದನು. ಅನಂತರ ಅರಗಿನ ಮನೆಗೆ ತಾನೇ ಬೆಂಕಿ ಕೊಟ್ಟು ಸುರಂಗದ ದಾರಿಯಿಂದ ಹೊರಟನು. ಆ ರಾತ್ರಿ ಹೊತ್ತಿಕೊಂಡ ಬೆಂಕಿ ಪುರೋಚನನ ದಾಳಿಯ ಆರಂಭವಾಗಿರಲಿಲ್ಲ; ಯುಧಿಷ್ಠಿರನ ನಿರ್ಧಾರದಂತೆ ಭೀಮನು ಮಾಡಿದ ಕಾರ್ಯವಾಗಿತ್ತು. ಮನೆಯಲ್ಲಿ ಉಳಿದಿದ್ದ ಪುರೋಚನ, ನಿಷಾದ ಮಹಿಳೆ ಮತ್ತು ಅವಳ ಐದು ಮಕ್ಕಳು ಪ್ರಾಣ ಕಳೆದುಕೊಂಡರು. ಅವರ ಸಾವಿನಿಂದಲೇ ಪಾಂಡವರು ಮತ್ತು ಕುಂತಿ ಸುಟ್ಟುಹೋದರೆಂಬ ತಪ್ಪು ನಂಬಿಕೆಗೆ ದಾರಿ ಉಂಟಾಯಿತು. ಜ್ವಾಲೆಗಳ ಕೆಳಗೆ ಸುರಂಗ ದಾಟಿದ ಪಾಂಡವರು ಹೊರಗೆ ಬಂದರು. ದಣಿದ ತಾಯಿ ಮತ್ತು ಸಹೋದರರಿಗೆ ಭೀಮನು ನೆರವಾದನು. ವಿದುರನು ಕಳುಹಿಸಿದ ನಾವಿಕನ ಸಂದೇಶದಿಂದ ವಿಶ್ವಾಸ ಪಡೆದು, ಅವನ ದೋಣಿಯಲ್ಲಿ ಗಂಗೆಯನ್ನು ದಾಟಿದರು. ಅವರ ಜೀವ ಉಳಿದಿತ್ತು; ಅವರ ಪಲಾಯನದ ಹಿಂದೆ ಏಳು ಜೀವಗಳ ನಷ್ಟ ಉಳಿದಿತ್ತು.",,87,39,50,,,pending,pending,,
370,G25-S07,ಸತ್ತವರಿಗಾಗಿ ಶೋಕ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 9884–10558,ಬೆಳಗಾದಾಗ ಸುಟ್ಟ ಮನೆಯನ್ನು ಕಂಡ ಜನರು ಪಾಂಡವರು ಮತ್ತು ಕುಂತಿ ಸತ್ತರೆಂದು ನಂಬಿದರು. ಸುದ್ದಿ ಹಸ್ತಿನಾಪುರ ತಲುಪಿತು. ಶೋಕಾಚರಣೆ ನಡೆಯಿತು; ಭೀಷ್ಮರ ದುಃಖ ತೀವ್ರವಾಗಿತ್ತು. ದುರ್ಯೋಧನನ ಪಾಳಯಕ್ಕೆ ಸಂಚು ಯಶಸ್ವಿಯಾಯಿತೆಂಬ ಭಾವನೆ ಮೂಡಿತು. ವಿದುರನಿಗೆ ಮಾತ್ರ ಸತ್ಯದ ಅರಿವಿತ್ತು. ಈ ಆವೃತ್ತಿಯ ವಿವರಣೆಯಲ್ಲಿ ಭೀಷ್ಮರಿಗೆ ಸಮಾಧಾನ ನೀಡುವ ಸಂದರ್ಭವೂ ಇದೆ. ರಾಜಧಾನಿಯ ಶೋಕ ಮತ್ತು ಕಾಡಿನ ಪಲಾಯನ ಒಂದೇ ಕಾಲದಲ್ಲಿ ನಡೆಯುತ್ತಿವೆ.,,44,20,25,,,pending,pending,,
371,G25-S08,ನೀರಿಗಾಗಿ ಹೋದ ಭೀಮ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 10559–10975,"ಕಾಡಿನಲ್ಲಿ ದಣಿವು ಮತ್ತು ದಾಹ ಎಲ್ಲರನ್ನೂ ಮಣಿಸಿತು. ಭೀಮನು ತಾಯಿ ಮತ್ತು ಸಹೋದರರನ್ನು ಒಂದು ಕಡೆ ಕುಳ್ಳಿರಿಸಿ ನೀರು ಹುಡುಕಲು ಹೋದನು. ಮರಳಿ ಬಂದಾಗ ಅವರು ನೆಲದ ಮೇಲೆಯೇ ನಿದ್ರಿಸಿದ್ದರು. ಅರಮನೆಯಲ್ಲಿ ಗೌರವದಿಂದ ಬದುಕಬೇಕಾದ ತಾಯಿ ಹೀಗೆ ಮಲಗಿರುವುದನ್ನು ಕಂಡು ಅವನ ಮನಸ್ಸು ಕುದಿಯಿತು. ದುರ್ಯೋಧನನ ಮೇಲೆ ಕೋಪ ಮೂಡಿದರೂ ಆ ಕ್ಷಣದಲ್ಲಿ ಅವನ ಕೆಲಸ ಪ್ರತೀಕಾರವಲ್ಲ, ಕಾವಲು. ಉಳಿದವರು ಮಲಗಿದ್ದಾಗ ಭೀಮನು ಎಚ್ಚರವಾಗಿಯೇ ನಿಂತನು. ಕಾಡಿನೊಳಗೆ ಯಾರೋ ಅವರ ವಾಸನೆಯನ್ನು ಗ್ರಹಿಸುತ್ತಿದ್ದರು.",,52,23,30,,,pending,pending,,
372,G26-S01,ಹಿಡಿಂಬೆಯ ಆಯ್ಕೆ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 10976–11416,ಆ ಕಾಡಿನಲ್ಲಿ ಹಿಡಿಂಬ ಎಂಬ ರಾಕ್ಷಸ ವಾಸಿಸುತ್ತಿದ್ದನು. ಮಾನವರ ಆಗಮನ ತಿಳಿದು ಅವನು ತಂಗಿ ಹಿಡಿಂಬೆಯನ್ನು ಅವರ ಬಳಿಗೆ ಕಳುಹಿಸಿದನು. ಆದರೆ ಭೀಮನನ್ನು ಕಂಡ ಹಿಡಿಂಬೆಯ ಮನಸ್ಸು ಬದಲಾಯಿತು. ಅಣ್ಣನ ಆದೇಶವನ್ನು ಪೂರೈಸುವುದಕ್ಕಿಂತ ಭೀಮನನ್ನೂ ಅವನ ಕುಟುಂಬವನ್ನೂ ಉಳಿಸಲು ಬಯಸಿದಳು. ರೂಪ ಬದಲಿಸಿಕೊಂಡು ಭೀಮನ ಬಳಿಗೆ ಬಂದು ಅಪಾಯವನ್ನು ತಿಳಿಸಿದಳು. ಭೀಮನು ತನ್ನ ನಿದ್ರಿಸುತ್ತಿರುವ ತಾಯಿ ಮತ್ತು ಸಹೋದರರನ್ನು ಬಿಟ್ಟು ಹೋಗಲು ಒಪ್ಪಲಿಲ್ಲ. ಹಿಡಿಂಬೆ ಮೊದಲ ಬಾರಿಗೆ ತನ್ನ ಕುಟುಂಬದ ಆದೇಶಕ್ಕೂ ತನ್ನ ಆಯ್ಕೆಗೂ ನಡುವೆ ನಿಂತಳು.,"ಹಿಡಿಂಬೆ: ಇಲ್ಲಿ ಉಳಿದರೆ ಅಪಾಯ. ನಿಮ್ಮೆಲ್ಲರನ್ನು ರಕ್ಷಿಸಲು ನಾನು ನೆರವಾಗುತ್ತೇನೆ.
ಭೀಮ: ನನ್ನವರನ್ನು ಬಿಟ್ಟು ನಾನು ಎಲ್ಲಿಗೂ ಹೋಗುವುದಿಲ್ಲ.",67,30,38,,,pending,pending,,
373,G26-S02,ಅಣ್ಣನ ಆಗಮನ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 11417–11717,ತಂಗಿ ತಡಮಾಡುತ್ತಿದ್ದಂತೆ ಹಿಡಿಂಬನೇ ಅಲ್ಲಿಗೆ ಬಂದನು. ಅವಳು ಮಾನವರನ್ನು ಉಳಿಸಲು ನಿಂತಿರುವುದನ್ನು ಕಂಡು ಕೋಪಗೊಂಡನು. ಹಿಡಿಂಬೆಯನ್ನು ಬೆದರಿಸಿದಾಗ ಭೀಮನು ನಡುವೆ ನಿಂತನು. ಹೋರಾಟದಿಂದ ಮಲಗಿರುವವರು ಎಚ್ಚರಗೊಳ್ಳದಂತೆ ಶತ್ರುವನ್ನು ದೂರಕ್ಕೆ ತೆಗೆದುಕೊಂಡು ಹೋಗಲು ಯತ್ನಿಸಿದನು. ಮರಗಳ ನಡುವೆ ಅವರ ಹಿಡಿತದ ಯುದ್ಧ ಆರಂಭವಾಯಿತು. ಇಲ್ಲಿ ಹಿಡಿಂಬೆ ನೋಡುತ್ತ ನಿಲ್ಲುವ ಬಹುಮಾನವಲ್ಲ; ತನ್ನ ಅಣ್ಣನನ್ನು ಎದುರಿಸಿ ಈಗಾಗಲೇ ನಿರ್ಧಾರ ತೆಗೆದುಕೊಂಡ ವ್ಯಕ್ತಿ.,,42,19,24,,,pending,pending,,
374,G26-S03,ಹಿಡಿಂಬನ ಅಂತ್ಯ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 11718–12429,ಹೋರಾಟದ ಶಬ್ದಕ್ಕೆ ಕುಂತಿ ಮತ್ತು ಪಾಂಡವರು ಎಚ್ಚರಗೊಂಡರು. ಹಿಡಿಂಬೆ ನಡೆದದ್ದನ್ನು ವಿವರಿಸಿದಳು. ಅರ್ಜುನನು ಭೀಮನಿಗೆ ನೆರವಾಗಲು ಮುಂದಾದರೂ ಭೀಮನು ತಾನೇ ಹೋರಾಟ ಮುಗಿಸುವುದಾಗಿ ಹೇಳಿದನು. ಕಾಲಹರಣ ಅಪಾಯ ತರಬಹುದೆಂದು ಅರ್ಜುನ ಎಚ್ಚರಿಸಿದನು. ಭೀಮನು ಹಿಡಿಂಬನನ್ನು ಮಣಿಸಿ ಕೊಂದನು. ಬೆಳಗಿನ ಬೆಳಕು ಮರಗಳ ನಡುವೆ ಕಾಣಿಸತೊಡಗಿತು. ಒಂದು ತಕ್ಷಣದ ಅಪಾಯ ದೂರವಾಯಿತು. ಆದರೆ ಹಿಡಿಂಬೆಯೊಂದಿಗೆ ಯಾವ ಸಂಬಂಧವನ್ನು ಸ್ವೀಕರಿಸಬೇಕು ಎಂಬ ಪ್ರಶ್ನೆ ಈಗ ಕುಟುಂಬದ ಮುಂದೆ ನಿಂತಿತು.,,47,21,27,,,pending,pending,,
375,G26-S04,ಕುಂತಿಯ ಮುಂದೆ ಮನವಿ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 12430–12910,ಹಿಡಿಂಬೆ ಕುಂತಿಯ ಮುಂದೆ ತನ್ನ ಇಚ್ಛೆಯನ್ನು ತಿಳಿಸಿದಳು. ಭೀಮನನ್ನು ಪತಿಯಾಗಿ ಸ್ವೀಕರಿಸಲು ಬಯಸುವುದಾಗಿ ಹೇಳಿ ಕುಟುಂಬಕ್ಕೆ ನೆರವಾಗುವುದಾಗಿ ಮಾತುಕೊಟ್ಟಳು. ಕುಂತಿ ಅವಳ ಮಾತನ್ನು ಕೇಳಿದಳು; ಯುಧಿಷ್ಠಿರನು ಸಂಬಂಧಕ್ಕೆ ಕಾಲ ಮತ್ತು ಮರಳುವಿಕೆಯ ನಿಯಮಗಳನ್ನು ವಿಧಿಸಿದನು. ಭೀಮನು ಕುಟುಂಬದ ಜವಾಬ್ದಾರಿಯನ್ನು ತೊರೆಯದೆ ಹಿಡಿಂಬೆಯೊಂದಿಗೆ ಇರಬೇಕಾಗಿತ್ತು. ಅರಣ್ಯದ ಈ ನಿರ್ಧಾರ ಭವಿಷ್ಯದಲ್ಲಿ ದೊಡ್ಡ ನೆರವಿಗೆ ಕಾರಣವಾಗಲಿದೆ. ಆದರೆ ಆ ಭವಿಷ್ಯವನ್ನು ಪಾತ್ರಗಳು ಈಗಲೇ ಸಂಪೂರ್ಣ ತಿಳಿದವರಂತೆ ವರ್ತಿಸಬಾರದು.,,46,20,26,,,pending,pending,,
376,G26-S05,ಆಶ್ರಯ ಮತ್ತು ಆಶ್ವಾಸನೆ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 12911–13469,ಪಾಂಡವರು ಶಾಲಿಹೋತ್ರರ ಆಶ್ರಮದ ಪರಿಸರಕ್ಕೆ ತಲುಪಿದರು. ಅರಣ್ಯಯಾತ್ರೆಯ ಆತಂಕದ ನಡುವೆ ಸರೋವರ ಮತ್ತು ಆಶ್ರಮ ಅವರಿಗೆ ತಾತ್ಕಾಲಿಕ ನೆಮ್ಮದಿ ನೀಡಿದವು. ವ್ಯಾಸರು ಬಂದು ಅವರ ದುಃಖವನ್ನು ಕೇಳಿ ಧೈರ್ಯ ತುಂಬಿದರು. ಮುಂದಿನ ದಾರಿಯ ಕುರಿತು ಮಾರ್ಗದರ್ಶನ ನೀಡಿದರು. ಅರಮನೆಯಿಂದ ದೂರವಾದರೂ ಅವರು ಸಂಪೂರ್ಣವಾಗಿ ಕೈಬಿಡಲ್ಪಟ್ಟವರಲ್ಲ ಎಂಬ ಭರವಸೆ ದೊರೆಯಿತು. ಈ ಮಧ್ಯೆ ಭೀಮ ಮತ್ತು ಹಿಡಿಂಬೆಯ ಸಂಬಂಧ ಮುಂದುವರಿಯಿತು. ಕುಟುಂಬದ ಬದುಕು ಕೇವಲ ಪಲಾಯನವಲ್ಲದೆ ಮತ್ತೆ ಭವಿಷ್ಯವನ್ನು ಪಡೆಯತೊಡಗಿತು.,,49,22,28,,,pending,pending,,
377,G26-S06,ಘಟೋತ್ಕಚನ ಜನನ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 12911–13687,ಭೀಮ ಮತ್ತು ಹಿಡಿಂಬೆಗೆ ಘಟೋತ್ಕಚನು ಜನಿಸಿದನು. ಅವನ ವಿಶಿಷ್ಟ ರೂಪ ಮತ್ತು ತಲೆಯ ಲಕ್ಷಣದಿಂದ ಹೆಸರಿನ ವಿವರಣೆ ಬರುತ್ತದೆ. ರಾಕ್ಷಸವಂಶದ ಸಾಮರ್ಥ್ಯದಿಂದ ಅವನ ಬೆಳವಣಿಗೆ ಸಾಮಾನ್ಯ ಮಾನವ ಮಗುವಿನಂತಿಲ್ಲವೆಂದು ಕಥೆ ತಿಳಿಸುತ್ತದೆ. ಶಿಶುವಿನಿಂದ ಯುವಕನಾಗುವ ಬದಲಾವಣೆಯನ್ನು ಒಂದೇ ಕ್ಷಣದ ಮುಖಮಾರ್ಪಿನಂತೆ ಮಾಡಬಾರದು. ಘಟೋತ್ಕಚನು ಪಾಂಡವರಿಗೂ ಕುಂತಿಗೂ ಗೌರವ ಸಲ್ಲಿಸಿ ತನ್ನ ಸಂಬಂಧವನ್ನು ಅಂಗೀಕರಿಸಿದನು.,,38,17,22,,,pending,pending,,
378,G26-S07,ಕರೆದಾಗ ಬರುತ್ತೇನೆ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 13530–13733,ಘಟೋತ್ಕಚನು ತನ್ನ ತಂದೆಯ ಕುಟುಂಬಕ್ಕೆ ಅಗತ್ಯವಾದಾಗ ನೆರವಾಗುವುದಾಗಿ ಮಾತುಕೊಟ್ಟನು. ಹಿಡಿಂಬೆ ಮತ್ತು ಅವನು ಹೊರಡುವ ಸಮಯ ಬಂತು. ಈ ವಿದಾಯದಲ್ಲಿ ಅರಣ್ಯದಲ್ಲಿ ಹುಟ್ಟಿದ ಸಂಬಂಧ ಕೊನೆಗೊಳ್ಳುವುದಿಲ್ಲ; ದೂರದಲ್ಲಿದ್ದರೂ ಉಳಿಯುವ ಬಂಧವಾಗುತ್ತದೆ. ಕುಂತಿಯ ಆಶೀರ್ವಾದವನ್ನು ಪಡೆದು ಮಗನು ತಾಯಿಯೊಂದಿಗೆ ಹೊರಟನು. ಪಾಂಡವರು ಮತ್ತೆ ತಮ್ಮ ಪ್ರಯಾಣಕ್ಕೆ ಸಿದ್ಧರಾದರು. ಅವರೊಂದಿಗೆ ನಡೆದುಹೋಗದಿದ್ದರೂ ಘಟೋತ್ಕಚ ಈಗ ಅವರ ಕುಟುಂಬಕಥೆಯ ಶಾಶ್ವತ ಭಾಗ.,ಘಟೋತ್ಕಚ: ನನ್ನ ನೆರವು ಬೇಕಾದಾಗ ನೆನಪಿಸಿಕೊಳ್ಳಿ. ನಾನು ಬರುತ್ತೇನೆ.,47,21,27,,,pending,pending,,
379,G26-S08,ಹೆಸರನ್ನು ಮರೆಮಾಡಿದ ಪ್ರಯಾಣ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 13530–13733,"ಪಾಂಡವರು ಬ್ರಾಹ್ಮಣರ ವೇಷದಲ್ಲಿ ಸಾಮಾನ್ಯ ಪ್ರಯಾಣಿಕರಂತೆ ಸಾಗಲು ನಿರ್ಧರಿಸಿದರು. ರಾಜಕುಮಾರರ ಗುರುತು ಬಹಿರಂಗವಾದರೆ ಬದುಕುಳಿದ ಸಂಗತಿ ಹಸ್ತಿನಾಪುರ ತಲುಪಬಹುದಿತ್ತು. ವ್ಯಾಸರ ಮಾರ್ಗದರ್ಶನದಲ್ಲಿ ಅವರು ಏಕಚಕ್ರನಗರದಲ್ಲಿ ಬ್ರಾಹ್ಮಣನೊಬ್ಬನ ಮನೆಯಲ್ಲಿ ಆಶ್ರಯ ಪಡೆದರು. ದಿನನಿತ್ಯ ಭಿಕ್ಷೆಯಿಂದ ಜೀವನ ಸಾಗಿಸುವ ಹೊಸ ಕ್ರಮ ಆರಂಭವಾಯಿತು. ಅದೇ ಮನೆಯಲ್ಲಿ ಬೇಗನೆ ಕೇಳಿಬರಲಿರುವ ಅಳುವಿನ ಧ್ವನಿ, ಈ ಕುಟುಂಬವನ್ನು ಮತ್ತೊಬ್ಬರ ದುಃಖದೊಂದಿಗೆ ಸೇರಿಸಲಿದೆ.",,40,18,23,,,pending,pending,,
380,G27-S01,ಭಿಕ್ಷೆಯ ಬದುಕು,MAHABHARATA-3-AADIPARVA_djvu.txt lines 13734–14066,ಪಾಂಡವರು ಪ್ರತಿದಿನ ಭಿಕ್ಷೆಗೆ ಹೋಗಿ ತಂದ ಆಹಾರವನ್ನು ಕುಂತಿಗೆ ಒಪ್ಪಿಸುತ್ತಿದ್ದರು. ಅವಳು ಅದನ್ನು ಕುಟುಂಬದ ಅಗತ್ಯಕ್ಕೆ ತಕ್ಕಂತೆ ಹಂಚುತ್ತಿದ್ದಳು; ಭೀಮನ ದೊಡ್ಡ ಹಸಿವಿಗೂ ಪಾಲಿರುತ್ತಿತ್ತು. ಒಂದು ದಿನ ಭೀಮನು ಮನೆಯಲ್ಲಿದ್ದಾಗ ಒಳಗಿನಿಂದ ಅಳುವಿನ ಧ್ವನಿ ಕೇಳಿಸಿತು. ತಮ್ಮನ್ನು ಆಶ್ರಯಿಸಿದ ಕುಟುಂಬದ ದುಃಖವನ್ನು ತಿಳಿಯಬೇಕೆಂದು ಕುಂತಿ ಒಳಗೆ ಹೋದಳು. ಆ ಮನೆಯವರು ಬಡತನಕ್ಕಿಂತ ದೊಡ್ಡ ಅಪಾಯದ ಎದುರು ನಿಂತಿದ್ದರು. ಯಾರೊಬ್ಬರು ಸತ್ತರೆ ಉಳಿದವರು ಬದುಕಬಹುದು ಎಂಬ ಕ್ರೂರ ಪ್ರಶ್ನೆಯ ಮೇಲೆ ಅವರ ಮಾತು ನಡೆಯುತ್ತಿತ್ತು.,,52,23,30,,,pending,pending,,
381,G27-S02,ಯಾರು ಹೋಗಬೇಕು,MAHABHARATA-3-AADIPARVA_djvu.txt lines 14067–15042,"ಮನೆಯ ಯಜಮಾನನು ಅಪಾಯವನ್ನು ತಾನೇ ಎದುರಿಸಬೇಕೆಂದನು. ಪತ್ನಿ ಅವನನ್ನು ಕಳೆದುಕೊಂಡರೆ ಕುಟುಂಬಕ್ಕೆ ಆಶ್ರಯವಿರುವುದಿಲ್ಲವೆಂದು ಹೇಳಿ ತಾನೇ ಹೋಗುವುದಾಗಿ ಒತ್ತಾಯಿಸಿದಳು. ಇಬ್ಬರೂ ಒಬ್ಬರ ಜೀವವನ್ನು ಇನ್ನೊಬ್ಬರು ಉಳಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತಿದ್ದರು. ಈ ಸಂಭಾಷಣೆ ದೀರ್ಘವಾಗುತ್ತದೆ, ಏಕೆಂದರೆ ಸಾವಿನ ಭಯದ ಜೊತೆಗೆ ಕುಟುಂಬದ ಕರ್ತವ್ಯ, ಅವಲಂಬನೆ ಮತ್ತು ಪ್ರೀತಿಯ ಪ್ರಶ್ನೆಗಳೂ ಅದರಲ್ಲಿ ಸೇರಿವೆ. ಕುಂತಿ ಕೇಳುತ್ತ ನಿಂತಳು. ತಾನು ಅನುಭವಿಸುತ್ತಿರುವ ಸಂಕಟಕ್ಕಿಂತ ಹೊರಗೂ ಜನರ ಬದುಕು ಭಯದಲ್ಲಿ ಬಂಧಿತವಾಗಿದೆ ಎಂಬುದು ಅವಳ ಮುಂದೆ ಬಯಲಾಯಿತು.",,50,22,29,,,pending,pending,,
382,G27-S03,ಮಕ್ಕಳ ಮಾತು ಮತ್ತು ಬಕನ ನಿಯಮ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 15043–15604,"ಮಗಳು ತನ್ನನ್ನೇ ಕಳುಹಿಸಬಹುದು ಎಂದಳು. ಚಿಕ್ಕ ಮಗನು ತಾನು ರಾಕ್ಷಸನನ್ನು ಹೊಡೆಯುವುದಾಗಿ ಮುಗ್ಧ ಧೈರ್ಯ ತೋರಿದನು. ಆ ಮಾತಿನಿಂದ ಅಳುವಿನ ನಡುವೆ ಕ್ಷಣಕಾಲ ನಗು ಮೂಡಿತು. ಕುಂತಿ ಕಾರಣ ಕೇಳಿದಾಗ ಯಜಮಾನನು ಬಕನ ಕಥೆ ಹೇಳಿದನು. ನಗರವು ಆಹಾರ ತುಂಬಿದ ಬಂಡಿ, ಪ್ರಾಣಿಗಳು ಮತ್ತು ಅದನ್ನು ಕೊಂಡೊಯ್ಯುವ ಮಾನವನನ್ನು ನಿಯಮಿತವಾಗಿ ಕಳುಹಿಸಬೇಕಿತ್ತು. ರಕ್ಷಣೆಯ ಹೆಸರಿನಲ್ಲಿ ಬಕನು ಜನರ ಜೀವವನ್ನೇ ಕಸಿಯುತ್ತಿದ್ದನು. ಈಗ ಈ ಮನೆಯ ಸರದಿ ಬಂದಿತ್ತು.",,48,21,27,,,pending,pending,,
383,G27-S04,ಕುಂತಿಯ ನಿರ್ಧಾರ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 15605–15920,ಕುಂತಿ ತನ್ನ ಒಬ್ಬ ಮಗನನ್ನು ಕಳುಹಿಸುವುದಾಗಿ ಹೇಳಿದಳು. ಆತಿಥ್ಯ ನೀಡಿದ ಮನೆಯವರನ್ನು ಉಳಿಸುವುದೇ ತನ್ನ ಉದ್ದೇಶವೆಂದಳು. ಯಜಮಾನನು ಅತಿಥಿಯನ್ನು ಅಪಾಯಕ್ಕೆ ಕಳುಹಿಸಲು ಒಪ್ಪಲಿಲ್ಲ. ಆದರೆ ಕುಂತಿಗೆ ಭೀಮನ ಸಾಮರ್ಥ್ಯ ಗೊತ್ತಿತ್ತು. ಅವನು ಹಿಂದಿನ ಅಪಾಯಗಳನ್ನು ಹೇಗೆ ಎದುರಿಸಿದ್ದಾನೆಂಬ ವಿಶ್ವಾಸದಿಂದ ಅವಳು ಮಾತು ಕೊಟ್ಟಳು. ಈ ವಿಷಯ ರಹಸ್ಯವಾಗಿರಬೇಕೆಂದೂ ತಿಳಿಸಿದಳು. ಭೀಮನಿಗೆ ಸುದ್ದಿ ತಲುಪಿದಾಗ ಅವನು ಹಿಂಜರಿಯಲಿಲ್ಲ. ಎದುರಿಸಬೇಕಾದವನ ಬಲಕ್ಕಿಂತ ಅವನ ಅನ್ಯಾಯವೇ ಭೀಮನ ಮುಂದೆ ಸ್ಪಷ್ಟವಾಗಿತ್ತು.,ಕುಂತಿ: ನಿಮ್ಮ ಕುಟುಂಬ ಬದುಕಬೇಕು. ನನ್ನ ಮಗ ಈ ಅಪಾಯವನ್ನು ಎದುರಿಸಬಲ್ಲನು.,55,24,31,,,pending,pending,,
384,G27-S05,ಅಣ್ಣನ ಆತಂಕ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 15921–16370,"ಭಿಕ್ಷೆಯಿಂದ ಮರಳಿದ ಯುಧಿಷ್ಠಿರನು ಭೀಮನ ಸಂತೋಷವನ್ನು ನೋಡಿ ಕಾರಣ ಕೇಳಿದನು. ಕುಂತಿಯ ನಿರ್ಧಾರ ತಿಳಿದು ಅವನಿಗೆ ಆತಂಕವಾಯಿತು. ಕುಟುಂಬದ ರಕ್ಷಣೆಗೆ ಮುಖ್ಯವಾದ ಭೀಮನನ್ನು ಇಂಥ ಅಪಾಯಕ್ಕೆ ಏಕೆ ಕಳುಹಿಸಬೇಕು ಎಂದು ಪ್ರಶ್ನಿಸಿದನು. ಕುಂತಿ ಭೀಮನ ಬಲವನ್ನೂ, ತಮ್ಮ ಆಶ್ರಯದಾತರಿಗೆ ಸಲ್ಲಬೇಕಾದ ಕೃತಜ್ಞತೆಯನ್ನೂ ವಿವರಿಸಿದಳು. ಯುಧಿಷ್ಠಿರನು ವಿಚಾರವನ್ನು ಒಪ್ಪಿಕೊಂಡನು. ಭೀಮನು ಬಂಡಿಯ ಆಹಾರವನ್ನು ತೆಗೆದುಕೊಂಡು ಹೊರಟನು. ಭಯದಿಂದ ಕಳುಹಿಸಲಾಗುತ್ತಿದ್ದ ಬಂಡಿಯಲ್ಲಿ ಈ ಬಾರಿ ಭಯವಿಲ್ಲದ ವ್ಯಕ್ತಿ ಕುಳಿತಿದ್ದನು.",,47,21,27,,,pending,pending,,
385,G27-S06,ಬಕನ ಊಟವನ್ನು ಭೀಮನೇ ತಿನ್ನುತ್ತಾನೆ,MAHABHARATA-3-AADIPARVA_djvu.txt lines 16371–16749,ಬಕನ ಪ್ರದೇಶಕ್ಕೆ ತಲುಪಿದ ಭೀಮನು ಆಹಾರವನ್ನು ತಾನೇ ತಿನ್ನತೊಡಗಿದನು. ಬಕನನ್ನು ಕರೆಯುತ್ತಾ ಅವನಿಗಾಗಿ ಬಂದ ಊಟವನ್ನು ಮುಗಿಸುತ್ತಿದ್ದನು. ಕೋಪದಿಂದ ಬಂದ ಬಕನು ಹೊಡೆದರೂ ಭೀಮನು ಮೊದಲು ಊಟದ ಕಡೆ ಗಮನವಿಟ್ಟನು. ಈ ಹಾಸ್ಯಭರಿತ ಕ್ಷಣದ ಹಿಂದೆ ನಗರದ ದೀರ್ಘ ಭಯವಿದೆ. ಜನರು ಮರಣದ ದೂತನಂತೆ ಕಂಡವನನ್ನು ಭೀಮನು ತನ್ನ ಮುಂದೆ ಸಾಮಾನ್ಯ ಎದುರಾಳಿಯಾಗಿ ನಿಲ್ಲಿಸಿದನು. ಊಟ ಮುಗಿದಾಗ ಅವನು ಎದ್ದು ಬಕನನ್ನು ಎದುರಿಸಿದನು. ಈಗ ಯಾರು ಯಾರನ್ನು ತಿನ್ನುತ್ತಾರೆ ಎಂಬ ಬೆದರಿಕೆಗೆ ಉತ್ತರ ಬಲದಿಂದ ಬರಬೇಕಿತ್ತು.,,54,24,31,,,pending,pending,,
