id,group_id,title,image_prompt,negative_prompt,motion,sound,continuity,postproduction_labels_kn,editorial_notes_kn,source,spoken_words,voice_estimate_min_seconds,voice_estimate_max_seconds,actual_voice_duration_seconds,image_status,clip_status,approved_reference_ids,review_status
G11-S02,G11,ತಂದೆಯ ಮರಣದ ವಿಚಾರಣೆ,"Adult King Janamejaya sits forward in the Kuru council chamber while an elderly minister recounts the circumstances of his father’s death. Other ministers stand as witnesses, faces sober and individually distinct. A covered ancestral seat remains in soft background focus. Late-afternoon court light, restrained gold, dark wood and clear eye-level staging keep grief and inquiry central. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow push from the circle of ministers toward the listening king.,Quiet council ambience; no revenge percussion until the account is complete.,"This is a deliberate retelling from ministers to the bereaved son, not a second death of Parikshit.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 21997–22370,56,25,32,,not_generated,not_generated,,editorial_draft
G11-S03,G11,ಮರದ ಮೇಲಿದ್ದ ಸಾಕ್ಷಿ,"An adult wood-gatherer clings safely to a high banyan branch newly covered in green shoots, staring down at the distant figures of healer Kashyapa and disguised Takshaka on the forest path. A small bundle of collected sticks is tied beside him. Show the restored aftermath, not his burning. Leaf-filtered light and clear vertical geography explain how an unnoticed witness could observe the exchange. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Tilt from the two figures below to the hidden observer above.,"Leaves stir, a twig creaks and distant indistinct speech remains under narration.",This witness detail is revealed in the later inquiry; do not pretend earlier scenes showed him if they did not.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 22371–22600,58,26,33,,not_generated,not_generated,,editorial_draft
G11-S04,G11,ಪ್ರತೀಕಾರದ ಸಂಕಲ್ಪ,"King Janamejaya stands before a group of ritual specialists, one hand resting firmly on a low planning table with plain measuring cords and wooden pegs. His expression is grief hardened into resolve. The priests listen rather than cheer. Warm torchlight, stone court walls and a disciplined triangular composition establish the decision before construction begins; no sacrifice fire yet. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow side move past the planning tools to the king’s face.,A measured low drum begins under the final decision.,Distinguish the target Takshaka from the expanding harm to other serpents; do not describe every future victim as Parikshit’s killer.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 22601–22780,52,23,30,,not_generated,not_generated,,editorial_draft
G11-S05,G11,ಯಜ್ಞಸ್ಥಳದ ಎಚ್ಚರಿಕೆ,"A skilled adult ritual architect kneels with measuring cord and pegs across a prepared earthen sacrifice ground, looking up gravely at King Janamejaya. Guards begin arranging the entrance boundary in the background. Morning light, red soil, timber posts and precise practical tools convey real preparation. No modern blueprint, compass graphics or written prophecy appears. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Follow the taut measuring cord to the architect’s warning face and the king’s reaction.,"Cord tension, wooden pegs tapped into earth and distant guard commands.",The warning precedes Astika’s arrival; the later reward to Lohitaksha/architect should be retained after completion.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 22781–22855,49,22,28,,not_generated,not_generated,,editorial_draft
G11-S06,G11,ಅಗ್ನಿಗೆ ಎಳೆಯಲ್ಪಡುವ ನಾಗಗಳು,"A vast ritual altar burns fiercely as several serpent silhouettes are pulled through smoky air toward its edge, with no graphic contact or burning bodies shown. Priests in dark ritual garments maintain their positions while a few witnesses look shaken. Deep amber fire against slate smoke, clear altar geography and dignified distance communicate mass peril rather than celebratory spectacle. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow wide move establishing the pull toward the altar; avoid repeated graphic falls.,"Layered chant, fire roar and restrained distressed hissing, kept below narration.",Takshaka remains absent under Indra’s protection. Do not substitute a single serpent image for the source’s multiple lineages in the coverage ledger.,,ಈ ದೃಶ್ಯವನ್ನು ವೈಭವದ ಗೆಲುವಾಗಿ ತೋರಿಸಬಾರದು.,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 22856–23110,45,20,26,,not_generated,not_generated,,editorial_draft
G11-S07,G11,ವಾಸುಕಿಯ ಕೊನೆಯ ಆಶೆ,"Young Astika stands before his adult mother Jaratkaru as she explains the family’s peril, with Vasuki coiled close by in visible distress. Astika’s posture is calm and attentive, his simple study garments unchanged. Warm light from a small lamp cuts through the cool naga-household interior. No weapons or crown; the scene’s strength comes from a child scholar accepting a grave responsibility. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow move from Vasuki’s anxious stillness to the mother and Astika’s steady face.,"Quiet urgent speech cadence, low cavern air and a restrained hopeful motif.",Astika remains youthful; do not transform him into an adult battle hero for the rescue.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 23111–23562,54,24,31,,not_generated,not_generated,,editorial_draft
G11-S08,G11,ದ್ವಾರದಿಂದ ಸಭೆಯವರೆಗೆ,"Young Astika stands calmly before two adult guards at the timber entrance to the serpent-sacrifice enclosure, hands joined in respectful greeting. Beyond the gate, the great altar glows through smoke and seated ritual specialists are visible. His small unarmed figure contrasts with the scale of the ceremony. Warm fire backlight and cool foreground shade keep his face clearly readable. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Advance slowly with Astika toward the gate, pausing before the threshold opens.","Distant chant and fire, then clear foreground narration with music minimal.",Do not show him already inside during the gate encounter. Full praise comparisons need a separate complete source segment.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 23568–23814,49,22,28,,not_generated,not_generated,,editorial_draft
G11-S09,G11,ವರದ ವಾಗ್ದಾನ,"King Janamejaya sits beside the sacrifice platform offering an open hand toward young Astika, who stands respectfully at a safe distance from the fire. Priests exchange cautious looks behind the king. Rich amber light, smoke-filtered faces and one clear interpersonal exchange dominate; the boy has no treasure or weapon. Keep altar placement identical to the established wide scene. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Balanced two-shot, then a short reaction cut to the concerned priests.",Fire and chant continue softly; a single held note marks the promise.,The boon is offered before the request to stop is granted. Do not show immediate extinguishing yet.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 23815–23948,51,23,29,,not_generated,not_generated,,editorial_draft
G11-S10,G11,ಇಂದ್ರನಿಂದ ಬಿಡಲ್ಪಟ್ಟ ತಕ್ಷಕ,"Takshaka in the approved serpent form hangs in a storm-lit sky above the distant sacrifice enclosure as Indra withdraws upward from a broken protective embrace. Keep Takshaka suspended and unburned. Below, the altar is small but clearly the destination of the pull. Deep blue clouds, amber fire below and a clean vertical composition communicate the peril without adding unrelated gods. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow downward drift with Takshaka, stopping before the altar.","Descending wind, deep chant and a sudden quiet space for Astika’s request.",Indra abandons protection; do not portray him burned in the sacrifice. The scene ends before the king’s final consent.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 23949–24152,50,22,29,,not_generated,not_generated,,editorial_draft
G11-S11,G11,"ನಿಲ್ಲು, ನಿಲ್ಲು, ನಿಲ್ಲು","Young Astika stands beside the ritual platform with one steady open hand raised, while Takshaka remains safely suspended high in the smoky background and King Janamejaya turns toward the boy with a difficult consenting expression. One coherent three-plane composition, amber fire kept below the serpent, controlled smoke and clear faces. No magical weapon or violent blast from Astika’s hand. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Hold the suspended moment, then move to the king’s consent rather than an explosive visual climax.","Three clearly separated narrated commands, chant stopping, then a long collective exhale.",Astika’s three commands and Janamejaya’s consent are separate actions; retain both. Fire may remain ritual flame after destructive invocations cease.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 24342–24426,51,23,29,,not_generated,not_generated,,editorial_draft
G11-S12,G11,ನಾಶವಾದ ವಂಶಗಳ ನೆನಪು,"The serpent-sacrifice ground lies quiet after the invocations stop: smoke thins above the same altar, priests lower their ladles and witnesses sit in solemn stillness. Focus on the empty air through which serpents had been drawn. Muted ash-grey and warm ember tones, no bodies or triumphant banners. Leave negative space for a later verified memorial-style name list added by the editor. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Very slow widening, allowing a respectful pause for the casualty record.","Low fire, wind and near silence; no victory drums.","This inserted remembrance follows the source’s casualty-list chapter51. Nagas named here are victims, not a survivor roll.",,"ಈ ಪಟ್ಟಿಯನ್ನು ಉಳಿದವರ ಪಟ್ಟಿಯೆಂದು ತಪ್ಪಾಗಿ ಹೇಳಬಾರದು.
ಕಥೆಯ ಮುಖ್ಯ ದೃಶ್ಯದಲ್ಲಿ ಕೆಲವು ಹೆಸರುಗಳನ್ನು ಮಾತ್ರ ಹೇಳಿದರೂ, ಸಂಪೂರ್ಣ ಹೆಸರುಪಟ್ಟಿ ಪರಿಶೀಲಿತ ಸಹಪಠ್ಯದಲ್ಲಿ ಇರಬೇಕು.",MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 24156–24338,30,13,17,,not_generated,not_generated,,editorial_draft
G11-S13,G11,ಮರಳಿಕೆ ಮತ್ತು ಸ್ಮರಣೆಯ ವರ,"Young Astika bows before his mother Jaratkaru and Vasuki in the familiar naga-household courtyard. His mother reaches toward him with relieved affection while the gathered serpents remain calm around the edges. Warm morning light replaces earlier anxious lamplight. Preserve his simple study clothes and unarmed appearance; a tender reunion, not a royal coronation or material reward display. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Gentle close move into the reunion, ending on the mother’s relieved face.",Soft flute resolution and quiet household ambience.,"The serpent-protection boon is a textual religious claim, not a substitute for real snakebite treatment or wildlife precautions; keep any practical note outside the story voice.",,ಈ ಫಲಶ್ರುತಿಯನ್ನು ಗ್ರಂಥದ ಧಾರ್ಮಿಕ ವಚನವೆಂದು ಪರಿಚಯಿಸಬೇಕು.,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 24427–24636,47,21,27,,not_generated,not_generated,,editorial_draft
G12-S01,G12,ವ್ಯಾಸರಿಂದ ವೈಶಂಪಾಯನರಿಗೆ,"Mature sage Vyasa sits with calm authority in Janamejaya’s ritual assembly and gestures toward adult disciple Vaishampayana, who rises respectfully to speak. The young adult king listens opposite them; ritual structures remain secondary. Warm filtered daylight, simple ochre scholarly cloth against restrained royal textiles and clear three-person eyelines establish the transmission of narration. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow move from Vyasa’s indicating hand to Vaishampayana, then to the king.",Low ritual ambience and a clear storytelling theme.,This is remembered recitation at the serpent-sacrifice gathering; do not imply the destructive sacrifice restarts after Astika stopped it.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 24647–24961,57,25,33,,not_generated,not_generated,,editorial_draft
G12-S02,G12,ಸಂಕ್ಷಿಪ್ತ ಭಾರತಕಥೆಯ ಪಾತ್ರ,"Adult Vaishampayana speaks from a low seat before Janamejaya, his hand tracing a simple progression across several unlettered wooden markers laid on a cloth. The markers are a presentation device, not magical objects. Attentive listeners, warm ritual light and deep background layers create a clear teaching composition. Avoid showing future war events simultaneously around the speaker. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow close move along the markers toward the attentive king.,Even measured narration over a quiet drone; no premature battle score.,"This is chapter54’s explicit synopsis. It must be labeled as a preview, not used to replace the later detailed stories.",,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 24965–25529,57,25,33,,not_generated,not_generated,,editorial_draft
G12-S03,G12,ಭಾರತಶ್ರವಣದ ಫಲ ಮತ್ತು ಅಧ್ಯಯನ,"A small circle of adult listeners sits with Vaishampayana in a quiet section of the ritual enclosure, faces attentive rather than ecstatic. One closed manuscript bundle rests beside the narrator, and a low lamp illuminates natural textile folds. Rich indigo shade, restrained amber highlights and patient human expressions convey study and reflection, without literal material rewards falling from heaven. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Nearly static close group composition with subtle breathing motion.,Soft tanpura and light manuscript handling.,Phalashruti claims remain attributed to the text; no guaranteed real-world reward is promised by the production.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 25536–26178,58,26,33,,not_generated,not_generated,,editorial_draft
G12-S04,G12,ಮನುವಿನಿಂದ ಯಯಾತಿಗೆ,"A close overhead view of an ancient-style teaching board with a branching tree shape drawn in plain pigment, no generated names. Two principal branches diverge from one trunk, with Vaishampayana’s hand indicating their separation. The surrounding cloth is deep indigo and the board warm weathered wood. Leave generous clear areas for editor-added verified Kannada names and relational connectors. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow top-down drift from the trunk into the two branches.,Soft brush or stylus sound and a clear explanatory cadence.,Genealogy graphics must use verified names. Do not merge same-named Janamejayas in later rows.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 26185–26262,55,24,31,,not_generated,not_generated,,editorial_draft
G12-S05,G12,ಪೌರವರಿಂದ ಕುರುಗಳಿಗೆ,"An interpretive early Hastinapura settlement rises beside a broad river: practical timber halls, earthen ramparts, modest stone foundations and cultivated land beyond. No enormous later-era domes or fantasy towers. Dawn haze and warm river reflections create a rich inhabited landscape. A single open foreground area is reserved for later verified genealogy overlays linking Bharata, Hasti, Kuru and Shantanu. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow river-level approach toward the settlement.,"Water, distant carts and morning settlement sounds.",This scene gives selected genealogy anchors only. Full chapter56 parent-spouse-child relations remain a separate expansion requirement.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 26263–26960,59,26,34,,not_generated,not_generated,,editorial_draft
G12-S06,G12,ಉಪರಿಚರ ವಸು ಮತ್ತು ಇಂದ್ರ,"Adult King Uparichara Vasu receives a plain ceremonial staff from Indra at the edge of a forest retreat. A luminous crystal-like aerial vehicle rests distantly, interpreted as sacred mythic transport rather than a modern aircraft. Vasu wears modest royal hunting cloth; Indra’s refined gold accents remain restrained. Clear morning light and respectful exchange dominate the frame. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Slow push to the staff passing between their hands.,"A quiet conch and forest wind, without engine-like sound.",Uparichara Vasu is a human king; do not confuse his name with the eight Vasus who later participate in Bhishma’s birth.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 27500–27698,55,24,31,,not_generated,not_generated,,editorial_draft
G12-S07,G12,ಇಂದ್ರಧ್ವಜದ ಉತ್ಸವ,"A tall decorated wooden Indra standard is being raised by coordinated attendants in a spacious ancient courtyard, wrapped in rich natural-dye cloth and flower garlands. Uparichara Vasu watches beside priests while townspeople stand at a safe distance. Warm festival daylight, textured rope and realistic lifting effort provide grandeur through craft and scale. No readable emblem or modern flag design. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Slow upward tilt following the rising standard, maintaining clear ropes and workers.","Conch, bhery and mridanga-inspired percussion mixed beneath narration.",The OCR duplicates portions of the festival passage; do not narrate the same raising twice as separate historical events.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 27699–27972,53,24,30,,not_generated,not_generated,,editorial_draft
G12-S08,G12,"ಶುಕ್ತಿಮತೀ, ಕೋಲಾಹಲ ಮತ್ತು ಗಿರಿಕಾ","Uparichara Vasu stands on a rocky ledge where a blocked river bursts through a newly opened cleft in Mount Kolahala. The king’s planted foot and the released water suggest the source’s mighty act without showing impossible broken anatomy. Personified Shuktimati is a restrained adult feminine presence within the river mist, not an exposed body. Emerald water, dark rock and bright spray. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.","Track the released river flow through the cleft, then reveal the king above.",Rushing water and a deep stone resonance.,Personification is mythic; show Girika’s later marriage only after an explicit adulthood transition.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 27973–28071,55,24,31,,not_generated,not_generated,,editorial_draft
G12-S09,G12,ಹಕ್ಕಿಯ ಮೂಲಕ ಹೋದ ಸಂದೇಶ,"Two hawks cross paths above the broad Yamuna, one losing a small folded leaf parcel from its beak as the other attempts to seize it. Keep the contents concealed and the birds’ anatomy precise. The parcel falls toward silver water, with green banks and distant flowering woodland below. Dramatic but natural late-afternoon light; no graphic reproductive imagery. Create one coherent cinematic frame for a 3840x2160, 16:9 master. Refined painterly realism, believable Indic faces and anatomy, handwoven natural-dye textiles, weathered organic materials, deep atmospheric perspective, nuanced natural light and rich restrained color. Preserve established face references, costume stage and prop placement. No collage, captions, logos, modern objects or invented written symbols. Architecture and costume are interpretive production design, not archaeological claims.","No generated letters, logos, watermarks, extra limbs, duplicate faces, deformed hands, plastic costumes, unrelated architecture, sexualized framing or graphic gore. Preserve original character references, age and scene continuity. For an editorial or publication scene, permit the modern book or archive props explicitly requested; do not project them into ancient story scenes.",Follow the falling leaf parcel in a clean downward movement toward the river.,"Wing beats, a brief sharp bird call and a soft water splash.",Narration explains the conception mechanism without euphemistically inventing a written message; the visual parcel remains discreet.,,,MAHABHARATA-1-AADIPARVA-_djvu (1).txt lines 28072–28159,52,23,30,,not_generated,not_generated,,editorial_draft
